timestamp,price,bid,ask,volume
78,100.06337157927598,100.05390736451301,100.07283579403895,4
267,100.07341304133224,100.06667426467966,100.08015181798483,14
325,100.12862688126542,100.11351977550335,100.14373398702749,1
518,100.13908659388672,100.13010984087299,100.14806334690044,18
675,100.1587939695036,100.13760536037005,100.17998257863717,1
765,100.26368043567993,100.24471764778016,100.2826432235797,11
886,100.37607217199741,100.36434028109515,100.38780406289966,3
1033,100.54252813466488,100.53559380712821,100.54946246220155,12
1150,100.5879881896717,100.57226362784262,100.6037127515008,13
1220,100.4668265583337,100.45078574570823,100.48286737095916,20
1362,100.3563637636344,100.35044727596129,100.36228025130752,8
1486,100.29800804830167,100.27330361788846,100.32271247871488,8
1561,100.23386111157939,100.21217890304658,100.2555433201122,6
1705,100.29400342810676,100.28189801410221,100.30610884211131,9
1773,100.25606574519507,100.23648320923607,100.27564828115408,6
1941,100.22502830412967,100.21243919529451,100.23761741296482,18
2047,100.16356243743591,100.14304243920499,100.18408243566684,8
2105,100.02246246778647,100.00136155177104,100.0435633838019,13
2223,100.18423770700461,100.16789410597504,100.20058130803419,11
2327,100.25568320216557,100.23757442885967,100.27379197547147,13
2494,100.28303581918347,100.26313603954164,100.3029355988253,18
2611,100.31734130405273,100.29740102781969,100.33728158028578,14
2810,100.27192239107738,100.24697163894749,100.29687314320728,17
2986,100.30518327015872,100.29836508191525,100.3120014584022,2
3064,100.33226254704618,100.31365292277626,100.35087217131611,20
3130,100.37096864297662,100.35827329674314,100.3836639892101,20
3299,100.16156063704142,100.13934504299672,100.18377623108611,1
3378,100.12282035971441,100.10418615233388,100.14145456709494,18
3496,100.1313260936768,100.12045609110386,100.14219609624975,6
3662,100.05887159941821,100.05380669309618,100.06393650574024,9
3840,100.06602309046825,100.0588948740123,100.0731513069242,10
4019,99.9710530045607,99.95387360033193,99.98823240878947,5
4164,99.9788751123438,99.95830258277118,99.99944764191642,17
4214,99.87957196221295,99.86259307052374,99.89655085390216,16
4268,99.9375395143034,99.91283308672452,99.96224594188227,10
4379,99.98665155378633,99.98049305045645,99.99281005711622,19
4449,100.06590112817103,100.05951687780167,100.0722853785404,18
4531,100.11320944927631,100.10564161998632,100.12077727856631,16
4721,100.16302066355733,100.14588878520767,100.18015254190699,7
4909,100.24740037735181,100.2272950734191,100.26750568128452,7
5038,100.1512496258496,100.13878121579901,100.16371803590019,17
5203,100.22204168745112,100.21462160353376,100.22946177136849,8
5269,100.16601867151715,100.15641637686522,100.17562096616908,8
5320,100.2566894233241,100.25026956160393,100.26310928504428,2
5428,100.27511617606368,100.26350760628206,100.28672474584529,17
5538,100.28342228538162,100.27285274010232,100.29399183066091,16
5642,100.15904910059206,100.13640143908924,100.18169676209487,19
5813,100.12775282881715,100.11789288396923,100.13761277366507,16
5967,100.14096489001086,100.12734386636274,100.15458591365899,14
6122,100.17458749635577,100.16024700299504,100.1889279897165,2
6197,100.29446744828809,100.27345559807085,100.31547929850532,4
6310,100.34246592135013,100.33363411990729,100.35129772279296,18
6474,100.37489039584018,100.36063783447216,100.38914295720821,3
6637,100.41417638556342,100.39301594066879,100.43533683045806,18
6712,100.70334189585938,100.68162134415778,100.72506244756099,3
6822,100.79848066593635,100.79015444372428,100.80680688814843,16
6995,100.81677160113578,100.81059889313634,100.82294430913522,13
7045,100.89567801306148,100.87097183618589,100.92038418993708,9
7211,100.86853617678005,100.84892607043174,100.88814628312836,18
7385,100.98907481536594,100.98097887886045,100.99717075187142,10
7490,101.09230415040766,101.07646024638017,101.10814805443515,11
7554,101.0717431585362,101.06574031179092,101.07774600528147,16
7732,101.15784378825838,101.1517061966638,101.16398137985296,17
7802,101.11007688908022,101.08805003817334,101.1321037399871,3
7869,101.08354933487921,101.07615160260026,101.09094706715815,19
7982,101.03131373593257,101.01473535478243,101.04789211708271,2
8052,100.93875578439179,100.92330013008115,100.95421143870243,9
8154,100.9902285190129,100.9718339995175,101.0086230385083,11
8265,100.9860780039096,100.96816798813285,101.00398801968635,15
8395,101.02824737745321,101.0046670108191,101.05182774408732,3
8447,100.75024696736257,100.72532503840547,100.77516889631967,3
8634,100.82482646818319,100.81556338193785,100.83408955442853,9
8717,100.97554932292172,100.95296391807203,100.99813472777141,12
8839,100.90835924656422,100.90020430991707,100.91651418321136,18
8966,100.72791431960248,100.70983479324826,100.74599384595669,1
9157,100.57540496210153,100.56441738705753,100.58639253714553,4
9241,100.56015726443522,100.5403089307556,100.58000559811484,5
9360,100.72745113678982,100.71681601136066,100.73808626221899,7
